"PHP 5 for dummies","Printed Book","","0764541668","Wiley","2004","xiv, 392 p. : ill. ; 24 cm.","For dummies","005.13/3-22 Jan p","English","Hoboken, NJ","005.13/3 22","","php5_dummies.jpg","","<Valade, Janet>","<Programming><Website>","<B00001>"
"Linux In a Nutshell","Printed Book","Fifth Edition","9780596009304","OReilly","2005","xiv, 925 p. : ill. ; 23 cm.","In a Nutshell","005.4/32-22 Ell l","English","Sebastopol, CA","005.4/32 22","","linux_in_a_nutshell.jpg","","<Siever, Ellen><Love, Robert><Robbins, Arnold><Figgins, Stephen><Weber, Aaron>","<Operating System><Linux><Computer>","<B00002>"
"The Definitive Guide to MySQL 5","Printed Book","","9781590595350","Apress","2005","784p.","Definitive Guide Series","005.75/85-22 Kof d","English","","005.75/85 22","","mysql_def_guide.jpg","","<Kofler, Michael><Kramer, David>","<Programming><Database><RDBMS>","<B00003>"
"Cathedral and the Bazaar: Musings on Linux and Open Source by an Accidental Revolutionary","Printed Book","","0-596-00108-8","OReilly","2001","208p.","","005.4/3222 Ray c","English","Sebastopol, CA","005.4/32 22","The Cathedral & the Bazaar is a must for anyone who cares about the future of the computer industry or the dynamics of the information economy. This revised and expanded paperback edition includes new material on open source developments in 1999 and 2000. Raymond's clear and effective writing style accurately describing the benefits of open source software has been key to its success. (Source: http://safari.oreilly.com/0596001088)","cathedral_bazaar.jpg","cathedral-bazaar.pdf","<Raymond, Eric>","<Linux><Open Source>",""
"Producing open source software : how to run a successful free software project","Printed Book","1st ed.","9780596007591","OReilly","2005","xx, 279 p. ; 24 cm.","","005.1-22 Fog p","English","Sebastopol, CA","005.1 22","Includes index.","producing_oss.jpg","","<Fogel, Karl>","<Open Source><Project>",""
"PostgreSQL : a comprehensive guide to building, programming, and administering PostgreSQL databases","Printed Book","1st ed.","0735712573","Sams","2003","xvii, 790 p. : ill. ; 23cm.","Developer’s library","005.75/85-22 Kor p","English","Indianapolis","005.75/85 22","PostgreSQL is the world's most advanced open-source database. PostgreSQL is the most comprehensive, in-depth, and easy-to-read guide to this award-winning database. This book starts with a thorough overview of SQL, a description of all PostgreSQL data types, and a complete explanation of PostgreSQL commands.","postgresql.jpg","","<Douglas, Korry><Douglas, Susan>","<Programming><RDBMS>",""
"Web application architecture : principles, protocols, and practices","Printed Book","","0471486566","John Wiley","2003","xi, 357 p. : ill. ; 23 cm.","","005.7/2-21 Leo ww","English","Hoboken, NJ","005.7/2 21","An in-depth examination of the core concepts and general principles of Web application development.rnThis book uses examples from specific technologies (e.g., servlet API or XSL), without promoting or endorsing particular platforms or APIs. Such knowledge is critical when designing and debugging complex systems. This conceptual understanding makes it easier to learn new APIs that arise in the rapidly changing Internet environment.","webapp_arch.jpg","","<Shklar, Leon><Rosen, Richard>","<Website><Design>",""
"Ajax : creating Web pages with asynchronous JavaScript and XML","Printed Book","","9780132272674","Prentice Hall","2007","xxii, 384 p. : ill. ; 24 cm.","Bruce Perens’ Open Source series","006.7/86-22 Woy a","English","Upper Saddle River, NJ","006.7/86 22","Using Ajax, you can build Web applications with the sophistication and usability of traditional desktop applications and you can do it using standards and open source software. Now, for the first time, there's an easy, example-driven guide to Ajax for every Web and open source developer, regardless of experience.","ajax.jpg","","<Woychowsky, Edmond>","<Programming><Website>",""
"The organization of information","Printed Book","2nd ed.","1563089769","Libraries Unlimited","2004","xxvii, 417 p. : ill. ; 27 cm.","Library and information science text series","025-22 Tay o","English","Westport, Conn.","025 22","A basic textbook for students of library and information studies, and a guide for practicing school library media specialists. Describes the impact of global forces and the school district on the development and operation of a media center, the technical and human side of management, programmatic activities, supportive services to students, and the quality and quantity of resources available to support programs.","organization_information.jpg","","<Taylor, Arlene G.>","<Information><Organization><Metadata>",""
"Library and Information Center Management","Printed Book","7th ed.","9781591584063","Libraries Unlimited","2007","xxviii, 492 p. : ill. ; 27 cm.","Library and information science text series","025.1-22 Stu l","English","Westport, Conn.","025.1 22","","library_info_center.JPG","","<Stueart, Robert D.><Moran, Barbara B.>","<Information><Library>",""
"Information Architecture for the World Wide Web: Designing Large-Scale Web Sites","Printed Book","2nd ed.","9780596000356","OReilly","2002","500p.","","006.7-22 Mor i","English","Cambridge, Mass","006.7 22","Information Architecture for the World Wide Web is about applying the principles of architecture and library science to web site design. Each website is like a public building, available for tourists and regulars alike to breeze through at their leisure. The job of the architect is to set up the framework for the site to make it comfortable and inviting for people to visit, relax in, and perhaps even return to someday.","information_arch.jpg","","<Morville, Peter><Rosenfeld, Louis>","",""
"Corruption and development","Printed Book","","9780714649023","Taylor & Francis Inc.","1998","166 p. : ill. ; 22 cm.","","364.1 Rob c","English","London","364.1/322/091724 21","The articles assembled in this volume offer a fresh approach to analysing the problem of corruption in developing countries and the k means to tackle the phenomenon.","corruption_development.jpg","","<Robinson, Mark>","<Corruption><Development>",""
"Corruption and development : the anti-corruption campaigns","Printed Book","","0230525504","Palgrave Macmillan","2007","310p.","","364.1 Bra c","English","New York","364.1/323091724 22","This book provides a multidisciplinary interrogation of the global anti-corruption campaigns of the last ten years, arguing that while some positive change is observable, the period is also replete with perverse consequences and unintended outcomes","corruption_development_anti_campaign.jpg","","<Bracking, Sarah>","<Corruption>",""
"Pigs at the trough : how corporate greed and political corruption are undermining America","Printed Book","","1400047714","Crown publishers","2003","275 p. ; 22 cm.","","364.1323 Huf p","English","New York","364.1323","","pigs_at_trough.jpg","","<Huffington, Arianna Stassinopoulos>","<Corruption>",""
"Lords of poverty : the power, prestige, and corruption of the international aid business","Printed Book","","9780871134691","Atlantic Monthly Press","1994","xvi, 234 p. ; 22 cm.","","338.9 Han l","English","New York","338.9/1/091724 20","Lords of Poverty is a case study in betrayals of a public trust. The shortcomings of aid are numerous, and serious enough to raise questions about the viability of the practice at its most fundamental levels. Hancocks report is thorough, deeply shocking, and certain to cause critical reevaluation of the governments motives in giving foreign aid, and of the true needs of our intended beneficiaries.","lords_of_poverty.jpg","","<Hancock, Graham>","<Corruption><Poverty>",""
